Station,Latitude,Longitude,address,district_number,geometry
0,29.7643362,-95.3673551,"410 Bagby, 77002",N/A,POINT (-95.3673551 29.7643362)
1,29.7623359,-95.4811189,"5880 Woodway, 77057",28,POINT (-95.4811189 29.7623359)
2,29.7379459,-95.4383293,"3735 W. Alabama, 77027",28,POINT (-95.43832929999999 29.7379459)
3,29.8662805,-95.4895379,"6530 W. Little York, 77088",4,POINT (-95.4895379 29.8662805)
4,29.8183406,-95.5249863,"2020 Hollister, 77080",5,POINT (-95.5249863 29.8183406)
5,29.7765065,-95.4201377,"3402 Washington, 77007",6,POINT (-95.4201377 29.7765065)
6,29.7392774,-95.3735695,"1402 Elgin, 77004",8,POINT (-95.3735695 29.7392774)
7,29.7513254,-95.3728949,"1919 Louisiana , 77002",8,POINT (-95.37289489999999 29.7513254)
8,29.7762728,-95.3604669,"702 Hogan, 77009",19,POINT (-95.36046689999999 29.7762728)
9,29.7066084,-95.5519133,"6600 Corporate, 77036",83,POINT (-95.5519133 29.7066084)
10,29.7794973,-95.4177362,"460 T.C. Jester, 77008",6,POINT (-95.4177362 29.7794973)
11,29.7901812,-95.3677844,"1502 Alber, 77009",19,POINT (-95.36778439999999 29.7901812)
12,29.8322869,-95.4513832,"2215 W. 43rd, 77018",31,POINT (-95.4513832 29.8322869)
13,29.7927628,-95.3985771,"107 W. 12th Street, 77008",N/A,POINT (-95.3985771 29.7927628)
14,29.8028043,-95.3867161,"5306 N. Main, 77009",6,POINT (-95.3867161 29.8028043)
15,29.7333171,-95.417519,"1700 Richmond, 77098",6,POINT (-95.417519 29.7333171)
16,29.753611,-95.3442408,"2805 Navigation, 77003",8,POINT (-95.3442408 29.753611)
17,29.7114589,-95.3154784,"619 Telephone, 77023",20,POINT (-95.31547839999999 29.7114589)
18,29.7769481,-95.3357787,"1801 Gregg, 77020",19,POINT (-95.33577869999999 29.77694809999999)
19,29.7461065,-95.3154784,"6902 Navigation, 77011",20,POINT (-95.31547839999999 29.7461065)
20,29.6704513,-95.4328095,"10515 Main, 77025",21,POINT (-95.43280949999999 29.6704513)
21,29.7161184,-95.2710558,"7825 Harrisburg, 77012",22,POINT (-95.2710558 29.7161184)
22,29.7160411,-95.2792279,"8005 Lawndale, 77012",20,POINT (-95.2792279 29.7160411)
23,29.6580016,-95.3901044,"2625 Reed Rd, 77051",46,POINT (-95.3901044 29.6580016)
24,29.7186441,-95.3533546,"3902 Scott, 77004",8,POINT (-95.35335459999999 29.7186441)
25,29.6817975,-95.3050414,"7111 Dixie, 77087",26,POINT (-95.30504140000001 29.6817975)
26,29.7692001,-95.3154784,"6515 Lyons, 77020",19,POINT (-95.31547839999999 29.7692001)
27,29.733903,-95.476839,"3000 Chimney Rock, 77057",28,POINT (-95.476839 29.73390299999999)
28,29.6908512,-95.2527741,"4831 Galveston, 77017",26,POINT (-95.25277410000001 29.6908512)
29,29.8359225,-95.3782513,"6702 Irvington, 77022",31,POINT (-95.3782513 29.8359225)
30,29.8285125,-95.4024259,"222 W. Crosstimbers, 77018",31,POINT (-95.4024259 29.8285125)
31,29.8496982,-95.2654646,"8614 Tidwell, 77028",34,POINT (-95.2654646 29.8496982)
32,29.7001862,-95.4013587,"7117 Fannin, 77030",21,POINT (-95.40135869999999 29.7001862)
33,29.840206,-95.3389806,"3100 Laura Koppe, 77034",34,POINT (-95.3389806 29.840206)
34,29.6741251,-95.3380708,"5535 Van Fleet, 77033",46,POINT (-95.3380708 29.6741251)
