station_id,Latitude,Longitude,address,district_number,geometry,Engine,Ladder,Medic,Ambulance
7,29.7513254,-95.3728949,"1919 Louisiana , 77002",8,POINT (-95.37289489999999 29.7513254),1,1,0,1
8,29.7762728,-95.3604669,"702 Hogan, 77009",19,POINT (-95.36046689999999 29.7762728),2,0,0,1
9,29.7066084,-95.5519133,"6600 Corporate, 77036",83,POINT (-95.5519133 29.7066084),1,0,1,1
12,29.8322869,-95.4513832,"2215 W. 43rd, 77018",31,POINT (-95.4513832 29.8322869),1,0,0,1
13,29.7927628,-95.3985771,"107 W. 12th Street, 77008",,POINT (-95.3985771 29.7927628),1,0,0,1
17,29.7114589,-95.3154784,"619 Telephone, 77023",20,POINT (-95.31547839999999 29.7114589),1,0,1,1
18,29.7769481,-95.3357787,"1801 Gregg, 77020",19,POINT (-95.33577869999999 29.77694809999999),1,0,1,1
19,29.7461065,-95.3154784,"6902 Navigation, 77011",20,POINT (-95.31547839999999 29.7461065),1,1,1,1
20,29.6704513,-95.4328095,"10515 Main, 77025",21,POINT (-95.43280949999999 29.6704513),1,1,0,1
22,29.7160411,-95.2792279,"8005 Lawndale, 77012",20,POINT (-95.2792279 29.7160411),0,0,0,0
23,29.6580016,-95.3901044,"2625 Reed Rd, 77051",46,POINT (-95.3901044 29.6580016),1,0,0,1
24,29.7186441,-95.3533546,"3902 Scott, 77004",8,POINT (-95.35335459999999 29.7186441),1,0,1,0
25,29.6817975,-95.3050414,"7111 Dixie, 77087",26,POINT (-95.30504140000001 29.6817975),1,0,0,1
26,29.7692001,-95.3154784,"6515 Lyons, 77020",19,POINT (-95.31547839999999 29.7692001),1,1,0,1
27,29.733903,-95.476839,"3000 Chimney Rock, 77057",28,POINT (-95.476839 29.73390299999999),1,0,1,1
29,29.8359225,-95.3782513,"6702 Irvington, 77022",31,POINT (-95.3782513 29.8359225),1,1,1,0
30,29.8285125,-95.4024259,"222 W. Crosstimbers, 77018",31,POINT (-95.4024259 29.8285125),1,0,0,1
31,29.8496982,-95.2654646,"8614 Tidwell, 77028",34,POINT (-95.2654646 29.8496982),1,1,1,1
32,29.7001862,-95.4013587,"7117 Fannin, 77030",21,POINT (-95.40135869999999 29.7001862),1,0,0,1
34,29.6741251,-95.3380708,"5535 Van Fleet, 77033",46,POINT (-95.3380708 29.6741251),1,1,1,1
35,29.6570837,-95.2800964,7720 Airport Blvd. 77061,26,POINT (-95.28009639999999 29.6570837),1,0,0,1
36,29.7016926,-95.4406911,"7026 Stella Link, 77025",21,POINT (-95.4406911 29.70169259999999),1,0,1,1
38,29.8127917,-95.318644,"5810 Pickfair, 77026",34,POINT (-95.31864399999999 29.8127917),1,1,0,1
39,29.7101165,-95.3208294,"5830 Old Spanish Trail, 77023",26,POINT (-95.3208294 29.7101165),1,0,0,1
40,29.7597385,-95.2632201,"805 Pearl, 77029",45,POINT (-95.2632201 29.7597385),1,0,1,1
41,29.7436575,-95.2728662,"8675 Clinton Drive, 77029",20,POINT (-95.2728662 29.7436575),1,0,0,1
42,29.8282711,-95.2840491,"7330 N. Wayside, 77028",34,POINT (-95.28404909999999 29.8282711),1,0,0,0
43,29.7781248,-95.218071,"675 Maxey, 77013",45,POINT (-95.218071 29.7781248),1,0,1,0
44,29.8052248,-95.2638971,"4910 N. McCarty, 77013",45,POINT (-95.2638971 29.8052248),1,1,1,0
45,29.6859018,-95.3642948,"3902 Corder, 77021",46,POINT (-95.3642948 29.6859018),1,1,0,0
46,29.6317182,-95.4137137,"2615 Tidewater, 77045",59,POINT (-95.4137137 29.6317182),1,1,0,1
50,29.7057858,-95.4588299,"6902 Bellaire, 77074",68,POINT (-95.4588299 29.7057858),1,0,1,0
52,32.3526456,-90.877882,"13349 Vicksburg, 77015",45,POINT (-90.877882 32.3526456),1,0,0,1
54,29.5981013,-95.4044268,"11402 Cullen, 77047",46,POINT (-95.4044268 29.5981013),0,0,0,0
56,29.7801889,-95.6090009,"13602 Memorial, 77079",78,POINT (-95.6090009 29.7801889),1,1,1,1
58,29.624456,-95.4647953,"13925 S. Post Oak, 77045",59,POINT (-95.46479529999999 29.624456),1,0,1,1
61,29.7981118,-95.4377323,"1602 Seamist, 77008",6,POINT (-95.4377323 29.7981118),1,1,0,0
63,29.9508745,-95.3420129,"3000 Greens Rd, 77032",64,POINT (-95.3420129 29.9508745),1,0,1,0
64,30.0202946,-95.1019231,"11531 FM 1960 East, 77336",102,POINT (-95.1019231 30.0202946),1,0,0,1
65,29.8673877,-95.593239,"5800 Teague, 77041",4,POINT (-95.593239 29.86738769999999),1,0,1,0
71,29.5581007,-95.1070736,"17401 Saturn Lane, 77058",71,POINT (-95.10707359999999 29.5581007),1,1,1,0
72,29.672788,-95.5708366,"9640 Wilcrest, 77099",68,POINT (-95.57083659999999 29.672788),1,0,1,0
74,29.7450033,-95.6047368,"1995 Dairy Ashford, 77077",78,POINT (-95.6047368 29.7450033),1,0,1,1
80,29.6579581,-95.5114042,"11250 Braesridge, 77071",68,POINT (-95.5114042 29.65795809999999),1,0,1,0
83,29.7562573,-95.6377195,"14300 Briar Forest, 77077",78,POINT (-95.63771949999999 29.75625729999999),1,0,0,1
86,29.5899853,-95.1804801,"911 FM 1959, 77546",70,POINT (-95.1804801 29.5899853),1,0,1,0
90,30.0516215,-95.2277326,"1863 Kingwood Dr., 77339",102,POINT (-95.2277326 30.0516215),1,1,0,1
92,30.0589572,-95.156823,"2907 High Valley Dr., 77345",102,POINT (-95.15682299999999 30.0589572),0,0,0,0
93,30.0293721,-95.238484,"910 Forest Cove Dr., 77339",102,POINT (-95.238484 30.0293721),1,1,0,1
94,29.8970333,-95.1714678,"14014 Lake Houston Parkway, 77044",65,POINT (-95.1714678 29.8970333),1,0,1,0
