,FRA_ARCID,FROM_FRA_N,TO_FRA_NOD,STATE_FIPS,STATE_FI_1,CNTY_FIPS,STATE_CNTY,STATE_ABRV,FRA_DIST_C,FRA_DIST,RR_OWNR_1,RR_OWNR_2,RR_OWNR_3,TRACK_RIGH,TRACK_RI_1,TRACK_RI_2,TRACK_RI_3,TRACK_RI_4,TRACK_RI_5,TRACK_RI_6,TRACK_RI_7,TRACK_RI_8,DIV,SUBDIV,BRNCH,YARDNAME,PASSGR_CD,PASSGR,STRTGC_NTW,STRTGC_N_1,TRACKS,NET_CD,RR_TYPE,MILES,KM,RR_STATUS,RR_COMPANY,RR_NBR,RR_ABRVN,RR_CLASSIF,geometry
16,423463,370188,370143,48,TX,201,48201,TX,5,District: 5,PTRA,,,BNSF,UP,,,,,,,,,NORTH DISTRICT,,NORTH,,,,,1,M,Main sub network,0.28747675,0.46264991,Active,Port Terminal Railroad Association,12,PTRA,F,"LINESTRING (-95.28822580099994 29.776435087000028, -95.28830253799998 29.77592536500004, -95.28836916399995 29.77557320600003, -95.28852620899995 29.77515442100003, -95.28877367099994 29.774721360000033, -95.28916390399996 29.77406462800007, -95.29010011499997 29.772644268000093)"
17,423465,370055,370064,48,TX,201,48201,TX,5,District: 5,PTRA,,,BNSF,UP,,,,,,,,,NORTH DISTRICT,,BASIN,,,,,1,M,Main sub network,0.02324414,0.03740789,Active,Port Terminal Railroad Association,12,PTRA,F,"LINESTRING (-95.29243596599997 29.768765510000044, -95.29224070599997 29.769056825000067)"
92,423977,369072,369061,48,TX,201,48201,TX,5,District: 5,UP,,,,,,,,,,,,HOUSTON,POPP,#N\A,,,,,,1,M,Main sub network,0.14725078,0.23697764,Active,Union Pacific,66,UP,F,"LINESTRING (-95.39526888199998 29.671164403000038, -95.39585838699996 29.670948781000043, -95.39599133399997 29.670896082000056, -95.39637276599994 29.670637484000068, -95.39642838799995 29.670567293000023, -95.39664429499997 29.670294842000033, -95.39695300999993 29.669743382000025)"
100,424125,370236,370227,48,TX,201,48201,TX,5,District: 5,PTRA,,,,,,,,,,,,HOUSTON,CTC DISTRICT,#N\A,BOOTH,,,,,1,M,Main sub network,0.0898746,0.14463944,Active,Port Terminal Railroad Association,12,PTRA,F,"LINESTRING (-95.28395377499999 29.73978755300003, -95.28402929199996 29.739895839000038, -95.28473109999999 29.74090220000005)"
101,424126,369942,369959,48,TX,201,48201,TX,5,District: 5,PTRA,,,BNSF,UP,,,,,,,,,NORTH DISTRICT,,NORTH,,,,,1,M,Main sub network,0.06868327,0.11053523,Active,Port Terminal Railroad Association,12,PTRA,F,"LINESTRING (-95.29411660999993 29.758367344000078, -95.29410167999998 29.75822656200005, -95.29408509399995 29.758070190000055, -95.29407889899993 29.758011771000053, -95.29401611299994 29.75775508800006, -95.29390011399992 29.757496321000062, -95.29384847499995 29.75740731400002)"
112,424476,370792,370889,48,TX,201,48201,TX,5,District: 5,PTRA,,,,,,,,,,,,HOUSTON,PASADENA DISTRICT,#N\A,,,,,,1,M,Main sub network,0.49580968,0.79792993,Active,Port Terminal Railroad Association,12,PTRA,F,"LINESTRING (-95.19796708399996 29.724733618000073, -95.19763008299998 29.725034568000062, -95.19704044199995 29.725561132000042, -95.19658358599996 29.725892999000035, -95.19588537099996 29.72625072700003, -95.19553195399999 29.72639295500005, -95.19504492799996 29.726539493000057, -95.19460962099997 29.72662138400005, -95.19413983399994 29.726673104000035, -95.19044619299994 29.726742063000078)"
113,424477,370750,370792,48,TX,201,48201,TX,5,District: 5,PTRA,,,,,,,,,,,,HOUSTON,PASADENA DISTRICT,#N\A,,,,,,1,M,Main sub network,0.62599255,1.00743937,Active,Port Terminal Railroad Association,12,PTRA,F,"LINESTRING (-95.20510497199994 29.718122396000055, -95.20336148499995 29.719789538000036, -95.20274515999995 29.720336903000035, -95.20209866499994 29.721039429000037, -95.20086170299999 29.722147090000085, -95.19962043399994 29.723241822000027, -95.19796708399996 29.724733618000073)"
162,424833,370445,370454,48,TX,201,48201,TX,5,District: 5,PTRA,UP,,,,,,,,,,,HOUSTON,CARNEGIE DISTRICT,#N\A,,,,,,1,M,Main sub network,0.10164032,0.16357456,Active,Port Terminal Railroad Association,12,PTRA,F,"LINESTRING (-95.26490558799998 29.737185769000067, -95.26475311899996 29.73711235800003, -95.26455648199999 29.73701768100005, -95.26389058999996 29.736810801000047, -95.26337339399998 29.73657159700008)"
241,424142,370106,370166,48,TX,201,48201,TX,5,District: 5,UP,,,,,,,,,,,,HOUSTON,HOUSTON EAST BELT,#N\A,SETTEGAST,,,,,1,M,Main sub network,0.22398502,0.36046967,Active,Union Pacific,66,UP,F,"LINESTRING (-95.29148606599993 29.807511751000053, -95.29063259599997 29.807328678000037, -95.29023392399995 29.807350228000068, -95.28991067499999 29.807441814000047, -95.28958742799995 29.807571113000055, -95.28929650599997 29.807781224000056, -95.28907023299998 29.808018273000066, -95.28903414399996 29.808081426000058, -95.28885473399997 29.808395394000065, -95.28870388499995 29.808847941000064)"
245,424261,370051,370206,48,TX,201,48201,TX,5,District: 5,UP,,,,,,,,,,,,HOUSTON,CLINTON INDUSTRIAL LEAD,#N\A,,,,,,1,I,Major Industrial Lead,0.45153291,0.72667323,Active,Union Pacific,66,UP,F,"LINESTRING (-95.29246211099996 29.75563143200003, -95.29240245499994 29.75559873800005, -95.29172866999994 29.755229446000044, -95.28645470599997 29.751699583000065)"
253,426360,370781,370911,48,TX,201,48201,TX,5,District: 5,PTRA,,,,,,,,,,,,,GREENSPORT INDUSTRIAL LEAD,,,,,,,1,I,Major Industrial Lead,0.81587638,1.31302838,Active,Port Terminal Railroad Association,12,PTRA,F,"LINESTRING (-95.20048537199995 29.756935115000022, -95.19897257299999 29.756825211000034, -95.18849288899997 29.754924516000067, -95.18775588399994 29.754536619000078, -95.18741653499995 29.754230076000063, -95.18741341599997 29.75422725800008)"
288,427990,370911,370917,48,TX,201,48201,TX,5,District: 5,PTRA,,,,,,,,,,,,,GREENSPORT INDUSTRIAL LEAD,,,,,,,1,I,Major Industrial Lead,0.07450605,0.11990611,Active,Port Terminal Railroad Association,12,PTRA,F,"LINESTRING (-95.18741341599997 29.75422725800008, -95.18738078399997 29.754199798000062, -95.18652107799994 29.753476366000037)"
289,427991,370917,370925,48,TX,201,48201,TX,5,District: 5,PTRA,,,,,,,,,,,,,GREENSPORT INDUSTRIAL LEAD,,,,,,,1,I,Major Industrial Lead,0.13489091,0.21708631,Active,Port Terminal Railroad Association,12,PTRA,F,"LINESTRING (-95.18652107799994 29.753476366000037, -95.18501014099995 29.75202821900006)"
290,427992,370940,370925,48,TX,201,48201,TX,5,District: 5,PTRA,,,,,,,,,,,,,GREENSPORT INDUSTRIAL LEAD,,,,,,,1,I,Major Industrial Lead,0.27920967,0.44934531,Active,Port Terminal Railroad Association,12,PTRA,F,"LINESTRING (-95.18201500799994 29.74897029600003, -95.18217016699997 29.749358193000013, -95.18261719199994 29.74977846700005, -95.18496729999997 29.751987941000035, -95.18501014099995 29.75202821900006)"
341,430501,370125,370143,48,TX,201,48201,TX,5,District: 5,PTRA,,,BNSF,UP,,,,,,,,,HOUSTON EAST BELT,,NORTH,,,,,2,M,Main sub network,0.06909758,0.111202,Active,Port Terminal Railroad Association,12,PTRA,F,"LINESTRING (-95.29069688099996 29.77178675200002, -95.29010011499997 29.772644268000093)"
342,430503,370112,370125,48,TX,201,48201,TX,5,District: 5,PTRA,,,BNSF,UP,,,,,,,,,NORTH DISTRICT,,BASIN,,,,,2,M,Main sub network,0.07138526,0.11488367,Active,Port Terminal Railroad Association,12,PTRA,F,"LINESTRING (-95.29130293199995 29.77089536500005, -95.29069688099996 29.77178675200002)"
343,430505,370108,370112,48,TX,201,48201,TX,5,District: 5,PTRA,,,BNSF,UP,,,,,,,,,NORTH DISTRICT,,BASIN,,,,,2,M,Main sub network,0.02025705,0.03260062,Active,Port Terminal Railroad Association,12,PTRA,F,"LINESTRING (-95.29143347699993 29.77062421100002, -95.29140821399994 29.770676686000044, -95.29130293199995 29.77089536500005)"
344,430506,370103,370108,48,TX,201,48201,TX,5,District: 5,PTRA,,,BNSF,UP,,,,,,,,,NORTH DISTRICT,,BASIN,,,,,2,M,Main sub network,0.01664372,0.02678552,Active,Port Terminal Railroad Association,12,PTRA,F,"LINESTRING (-95.29154073699999 29.770401426000035, -95.29143347699993 29.77062421100002)"
