,Station_Ind,Crossing_Ind,Time_In_Seconds
0,0,0,1357
1,0,1,1268
2,0,2,1152
3,0,3,835
4,0,4,546
5,1,0,1845
6,1,1,1669
7,1,2,1039
8,1,3,1508
9,1,4,1044
10,2,0,1492
11,2,1,1396
12,2,2,1118
13,2,3,1092
14,2,4,846
15,3,0,2292
16,3,1,2117
17,3,2,552
18,3,3,1786
19,3,4,1322
20,4,0,2178
21,4,1,2164
22,4,2,527
23,4,3,1814
24,4,4,1350
25,0,0,703
26,0,1,862
27,0,2,584
28,0,3,1170
29,0,4,926
30,1,0,1113
31,1,1,1121
32,1,2,1257
33,1,3,1039
34,1,4,1184
35,2,0,838
36,2,1,847
37,2,2,840
38,2,3,765
39,2,4,911
40,3,0,1561
41,3,1,1568
42,3,2,1534
43,3,3,1486
44,3,4,1632
45,4,0,1608
46,4,1,1615
47,4,2,1563
48,4,3,1533
49,4,4,1679
50,0,0,712
51,0,1,960
52,0,2,858
53,0,3,1170
54,0,4,1200
55,1,0,1222
56,1,1,798
57,1,2,718
58,1,3,1056
59,1,4,1087
60,2,0,1139
61,2,1,925
62,2,2,820
63,2,3,1136
64,2,4,1166
65,3,0,1315
66,3,1,743
67,3,2,718
68,3,3,622
69,3,4,600
70,4,0,1493
71,4,1,633
72,4,2,737
73,4,3,674
74,4,4,533
75,0,0,1187
76,0,1,1076
77,0,2,1056
78,0,3,950
79,0,4,785
80,1,0,1073
81,1,1,1011
82,1,2,896
83,1,3,807
84,1,4,667
85,2,0,1152
86,2,1,1042
87,2,2,1022
88,2,3,914
89,2,4,746
90,3,0,586
91,3,1,532
92,3,2,571
93,3,3,679
94,3,4,760
95,4,0,492
96,4,1,519
97,4,2,542
98,4,3,597
99,4,4,817
100,0,0,751
101,0,1,727
102,0,2,816
103,0,3,759
104,0,4,981
105,1,0,1424
106,1,1,1135
107,1,2,1489
108,1,3,1441
109,1,4,1151
110,2,0,1008
111,2,1,862
112,2,2,1073
113,2,3,1016
114,2,4,878
115,3,0,1702
116,3,1,1582
117,3,2,1766
118,3,3,1710
119,3,4,1599
120,4,0,1730
121,4,1,1629
122,4,2,1795
123,4,3,1739
124,4,4,1646
125,0,0,1200
126,0,1,1315
127,0,2,1295
128,0,3,777
129,0,4,799
130,1,0,1195
131,1,1,1309
132,1,2,1289
133,1,3,1417
134,1,4,1200
135,2,0,921
136,2,1,1035
137,2,2,1016
138,2,3,1033
139,2,4,927
140,3,0,1642
141,3,1,1756
