Station,Address,Year,Dist.,EMS,Other,Total,Assigned Equipment
2,"5880 Woodway, 77057",1990,G,"5,197","2,055","7,252","Engine, Ambulance, Cascade Unit"
3,"3735 W. Alabama, 77027",1958,C,"5,598","1,935","7,533","Engine, Peak Time Ambulance"
4,"6530 W. Little York, 77088",1985,A,"6,644","1,695","8,339","Engine, Ladder, Ambulance, District Chief"
5,"2020 Hollister, 77080",1977,A,"5,425","1,585","7,010","Engine, Ambulance, High Water Vehicle, District Chief"
6,"3402 Washington, 77007",1987,C,"5,517","2,334","7,851","Engine, Tower, Medic, District Chief"
7,"1402 Elgin, 77004",1970,D,"9,108","2,237","11,345","Engine, Ladder, Ambulance"
8,"1919 Louisiana , 77002",2008,I,"11,580","3,327","14,907","Engine, Engine, Ambulance, Peak Time Ambulance, Squad, Command Van, Secondary Rehab Unit, District Chief"
9,"702 Hogan, 77009",1969,H,"8,179","1,140","9,319","Engine, Ambulance, Medic"
10,"6600 Corporate, 77036",1983,F,"10,567","1,755","12,322","Engine, Ambulance, Medic, Technical Rescue, Rescue Boat, Rescue Boat"
11,"460 T.C. Jester, 77008",1999,C,"4,412","1,307","5,719","Engine, Ambulance, EMS District Chief, Technical Rescue, Technical Rescue Trailer, Utility Trailer, Evacuation Boat, Rescue Boat, Rescue Boat"
12,"1502 Alber, 77009",1958,H,"4,515",709,"5,224","Engine, Ambulance"
13,"2215 W. 43rd, 77018",1956,C,"5,246","1,046","6,292","Engine, Ambulance"
15,"5306 N. Main, 77009",1999,H,"5,165","1,347","6,512","Engine, Ambulance, Cascade Unit, Sr. Ambulance Supervisor, Shift Commander"
16,"1700 Richmond, 77098",1978*,C,"9,104","2,450","11,554","Engine, Ladder, Ambulance, Ambulance Supervisor"
17,"2805 Navigation, 77003",1983*,H,"10,060","1,238","11,298","Engine, Ambulance, Medic, Ambulance Supervisor, Rehab Unit, Rescue Boat, Mobile Ventilation Unit, Decon Task Force Truck and Trailer"
18,"619 Telephone, 77023",1980,I,"8,426","1,409","9,835","Engine, Tower, Ambulance, Medic"
19,"1811 Gregg, 77020",1979*,B,"9,193","1,565","10,758","Engine, Ladder, Ambulance, Medic, District Chief"
20,"6902 Navigation, 77011",1968,I,"3,973","1,253","5,226","Engine, Ladder, Ambulance, District Chief"
21,"10515 Main, 77025",1972,K,"6,052","1,949","8,001","Engine, Tower, Ambulance, District Chief, High Water Vehicle"
22,"7825 Harrisburg, 77012",1970,I,165,"1,595","1,760",Specialized Hazardous Material Units
23,"8005 Lawndale, 77012",1976,I,"5,011","1,096","6,107","Engine, Ambulance, Cascade"
24,"2625 Reed Rd, 77051",2008,D,"5,544","2,817","8,361","Engine, Medic, Sr. Safety Officer, Decon Task Force Truck and Trailer, Peak Time Ambulance"
25,"3902 Scott, 77004",1978,D,"6,363",862,"7,225","Engine, Ambulance"
26,"7111 Dixie, 77087",1953,I,"7,514","2,086","9,600","Engine, Ladder, Ambulance, District Chief"
27,"6515 Lyons, 77020",2004,H,"7,199",729,"7,928","Engine, Ambulance, Medic"
28,"3000 Chimney Rock, 77057",1987,J,"10,240","3,374","13,614","Engine, Ladder, Ambulance, Squad, District Chief"
29,"4831 Galveston, 77017",1976,I,"5,924","1,298","7,222","Engine, Ladder, Medic, Ambulance Supervisor"
30,"6702 Irvington, 77022",1975,H,"8,075","2,829","10,904","Engine, Ambulance, Ambulance Supervisor, Safety District Chief"
31,"222 W. Crosstimbers, 77018",1980*,H,"10,505","2,676","13,181","Engine, Ladder, Ambulance, Medic, District Chief"
32,"8614 Tidwell, 77028",1979,B,"4,901",638,"5,539","Engine, Ambulance, Booster/High Water Vehicle, Evacuation Boat"
33,"7117 Fannin, 77030",2004,K,"11,347","2,638","13,985","Engine, Ladder, Sr. Ambulance Supervisor, Ambulance, Peak Time Ambulance, Squad"
34,"3100 Laura Koppe, 77034",1988,H,"10,316","2,072","12,388","Engine, Ladder, Ambulance, Medic, District Chief"
35,"5535 Van Fleet, 77033",2008,D,"7,689","1,270","8,959","Engine, Ambulance, Booster, Evacuation Boat"
36,7720 Airport Blvd. 77061,1956,I,"11,134","1,492","12,626","Engine, Ambulance, Medic, Ambulance Supervisor "
37,"7026 Stella Link, 77025",2009,C,"4,167","1,375","5,542","Engine, Ambulance, Shift Commander, High Water Vehicle"
38,"1120 Silber, 77023",1955,A,"3,483",969,"4,452","Engine, Ladder, Ambulance"
